
New Run at  10/17/2015 04:15:50
, Time,RandomCTR;CoLinUCBCTR
data,1241765700,0.0368147730644;0.0472869236077
data,1241766000,0.0368138941623;0.0472843703656
data,1241766000,0.0368132229934;0.0472828626429
data,1241766000,0.036811958714;0.0472819839467
data,1241766000,0.0368108132155;0.047279669346
data,1241766300,0.0368097271649;0.0472782513505
data,1241766300,0.0368089377854;0.0472767146163
data,1241766300,0.0368079409323;0.0472759004627
data,1241766300,0.0368068255945;0.0472762500369
data,1241766600,0.0368058882827;0.0472747479738
data,1241766600,0.0368049510821;0.0472740232671
data,1241766600,0.0368036582474;0.0472730266817
data,1241766600,0.0368028991522;0.0472708326525
data,1241766900,0.0368016955181;0.0472689405699
data,1241766900,0.036800699508;0.0472670784425
data,1241766900,0.0367994665086;0.0472641380203
data,1241766900,0.0367985300219;0.0472616778153
data,1241767200,0.0367977714557;0.0472614294286
data,1241767200,0.0367968944467;0.047260285591
data,1241767200,0.0367957804907;0.0472583058701
data,1241767500,0.0367949037037;0.0472557231457
data,1241767500,0.0367943232994;0.0472566174905
data,1241767500,0.0367931504414;0.0472560726673
data,1241767500,0.036792185093;0.0472551669736
data,1241767800,0.0367913975946;0.0472538755978
data,1241767800,0.0367906694313;0.0472528562834
data,1241767800,0.0367897340205;0.0472507841223
data,1241767800,0.0367885321644;0.0472501211815
data,1241768100,0.036787745069;0.0472487366119
data,1241768100,0.0367866619285;0.0472481332156
data,1241768100,0.0367852235712;0.0472467489257
data,1241768400,0.0367839038257;0.0472448902727
data,1241768400,0.0367826730621;0.0472453004522
data,1241768400,0.0367819161535;0.0472450829262
data,1241768400,0.0367807744686;0.0472423599025
data,1241768700,0.0367797513321;0.0472413964064
data,1241768700,0.036778580309;0.0472414509359
data,1241768700,0.0367775574236;0.0472392622638
data,1241768700,0.0367765642574;0.0472388969517
data,1241769000,0.0367753344383;0.0472374843066
data,1241769000,0.0367742823321;0.0472361903627
data,1241769000,0.0367733487216;0.0472356771332
data,1241769300,0.0367726519501;0.0472327436193
data,1241769300,0.0367717481359;0.0472327047181
data,1241769300,0.0367706077283;0.0472317719457
data,1241769300,0.0367697337278;0.0472306022993
data,1241769600,0.0367686823265;0.0472287167857
data,1241769600,0.0367677493788;0.0472277007303
data,1241769600,0.0367669052831;0.0472258993401
data,1241769900,0.0367655584477;0.0472238072247
data,1241769900,0.0367642709258;0.0472239220722
data,1241769900,0.0367631610079;0.0472216823508
data,1241769900,0.0367620512214;0.0472189291986
data,1241770200,0.0367609119943;0.0472176721963
data,1241770200,0.0367600686025;0.047216948105
data,1241770200,0.036759077469;0.04721583936
data,1241770500,0.0367581160192;0.0472151799564
data,1241770500,0.0367569477294;0.0472145449076
data,1241770500,0.036755868267;0.0472122719194
data,1241770500,0.0367546115644;0.0472112524956
data,1241770800,0.0367539757612;0.0472101148688
data,1241770800,0.0367530740128;0.0472091252847
data,1241770800,0.0367516403618;0.0472072431053
data,1241771100,0.0367502955432;0.0472063129696
data,1241771100,0.0367490395413;0.047204046795
data,1241771100,0.0367479905437;0.0472021948974
data,1241771400,0.0367470598664;0.0472022518781
data,1241771400,0.0367459224678;0.0472002174588
data,1241771400,0.0367449033859;0.0472000621276
data,1241771400,0.0367437662491;0.0471967515559
data,1241771700,0.0367427769572;0.0471966019949
data,1241771700,0.0367414923786;0.0471949877085
data,1241771700,0.0367401488746;0.0471925111089
data,1241772000,0.0367389236767;0.0471901234692
data,1241772000,0.0367378462992;0.0471897619665
data,1241772000,0.0367367099823;0.0471885972627
data,1241772300,0.0367359281791;0.0471865056935
data,1241772300,0.0367347921096;0.0471845086793
data,1241772300,0.0367337152306;0.0471822699563
data,1241772300,0.0367326384788;0.0471818795147
data,1241772600,0.0367312961323;0.0471812176299
data,1241772600,0.0367303967879;0.0471812759226
data,1241772600,0.0367290842534;0.0471782999093
data,1241772900,0.0367278013933;0.0471774612355
data,1241772900,0.0367266072377;0.0471748047339
data,1241772900,0.0367257674144;0.0471736712307
data,1241773200,0.0367246620625;0.0471709031128
