
New Run at  09/28/2015 11:48:30
, Time,RandomCTR;CoLinUCBCTR
data,1241333700,0.0364925855059;0.0413578469265
data,1241334000,0.0364898373984;0.0413546462731
data,1241334000,0.0364867320105;0.0413451633102
data,1241334000,0.03648458413;0.0413415690006
data,1241334000,0.0364806451613;0.041335035859
data,1241334300,0.0364762302914;0.0413258793197
data,1241334300,0.0364726534512;0.0413169363625
data,1241334300,0.0364680038204;0.0413055811198
data,1241334600,0.0364639532108;0.0412982325244
data,1241334600,0.0364608591885;0.0412912004838
data,1241334600,0.0364576473395;0.0412901470473
data,1241334600,0.036455629771;0.0412850159544
data,1241334900,0.0364537324112;0.0412752683245
data,1241334900,0.0364494515975;0.0412680193616
data,1241334900,0.0364463647199;0.041259424039
data,1241335200,0.036442564347;0.0412576540495
data,1241335200,0.0364400762449;0.0412498962528
data,1241335200,0.0364379466413;0.0412425571291
data,1241335200,0.0364366515837;0.0412406639734
data,1241335500,0.0364341666667;0.0412425544749
data,1241335500,0.0364302547013;0.0412316737647
data,1241335500,0.0364272965255;0.0412241391437
data,1241335800,0.0364232690935;0.0412156766232
data,1241335800,0.0364205518554;0.0412148540182
data,1241335800,0.0364164090369;0.0412054676245
data,1241335800,0.0364128625773;0.041201490571
data,1241336100,0.036410506299;0.0411914927777
data,1241336100,0.0364064876426;0.0411803357627
data,1241336100,0.0364031836541;0.0411737863737
data,1241336400,0.0364004750594;0.0411692013065
data,1241336400,0.0363971740679;0.0411636899466
data,1241336400,0.036394705603;0.0411580782875
data,1241336700,0.0363904581059;0.0411503770886
data,1241336700,0.0363859753204;0.0411413404114
data,1241336700,0.036381376038;0.0411330295899
data,1241337000,0.0363782020873;0.0411261965839
data,1241337000,0.0363762153189;0.0411196761466
data,1241337000,0.0363725699384;0.041114187734
data,1241337300,0.0363691633088;0.0411114084158
data,1241337300,0.0363656398104;0.0411114389004
data,1241337300,0.0363629471689;0.0411080451496
data,1241337300,0.0363587162482;0.0411001004453
data,1241337600,0.0363555529245;0.0410965063473
data,1241337600,0.0363519176136;0.0410907247441
data,1241337600,0.0363473372781;0.0410854590531
data,1241337900,0.0363452437293;0.0410772225827
data,1241337900,0.0363409037142;0.0410689556224
data,1241337900,0.0363369205298;0.0410578911526
data,1241338200,0.0363334121542;0.0410473815461
data,1241338200,0.036329787234;0.0410388224618
data,1241338200,0.0363261640274;0.0410365178901
data,1241338500,0.0363236058601;0.0410292314899
data,1241338500,0.0363195133475;0.0410205825281
data,1241338500,0.036315777043;0.0410116948578
data,1241338800,0.0363108618654;0.0410056861749
data,1241338800,0.0363051227573;0.040998683323
data,1241338800,0.0363012744867;0.0409930098121
data,1241339100,0.0362982538933;0.0409907847859
data,1241339100,0.0362940552017;0.0409832803538
data,1241339100,0.0362898584906;0.0409722740271
data,1241339400,0.0362855458618;0.0409647779479
data,1241339400,0.036281824611;0.0409561657931
data,1241339400,0.036277869432;0.0409485168244
data,1241339700,0.03627332705;0.0409491377233
data,1241339700,0.0362692579505;0.0409406389292
data,1241339700,0.0362650730099;0.0409314333946
data,1241340000,0.0362604191194;0.0409259337392
data,1241340000,0.0362556497175;0.0409193770905
data,1241340000,0.0362512355848;0.0409108950189
data,1241340300,0.0362481176471;0.0409063629916
data,1241340300,0.036243707363;0.0408978434105
data,1241340600,0.0362402398871;0.0408878070304
data,1241340600,0.0362371267341;0.0408816175213
data,1241340600,0.0362329572167;0.0408763428073
data,1241340900,0.0362310223267;0.0408726905233
data,1241340900,0.0362266212406;0.0408647417166
data,1241340900,0.0362230443975;0.0408585165855
data,1241341200,0.0362189995303;0.0408558288738
data,1241341200,0.0362149565626;0.0408459208521
data,1241341200,0.036209741784;0.0408382895766
data,1241341500,0.0362053508566;0.0408292995427
data,1241341500,0.0362003754106;0.0408259149357
data,1241341500,0.0361968097584;0.0408177896441
data,1241341800,0.0361933630394;0.0408144098544
data,1241341800,0.036188862837;0.040807703427
data,1241341800,0.0361857712143;0.0408018576616
data,1241342100,0.0361829153972;0.0408017108961
data,1241342100,0.036180529522;0.0407952657346
data,1241342400,0.0361769735301;0.0407869079061
data,1241342400,0.0361721311475;0.0407760377852
data,1241342400,0.0361676422384;0.0407681433657
data,1241342700,0.0361637406367;0.0407614124309
data,1241342700,0.0361601919026;0.0407550872971
data,1241342700,0.0361562938699;0.0407438356738
data,1241343000,0.0361522807018;0.0407319880039
data,1241343000,0.0361479186155;0.0407266796583
data,1241343000,0.0361447276128;0.0407244388505
data,1241343300,0.036141771856;0.0407168730623
data,1241343300,0.0361374152839;0.0407112717318
data,1241343600,0.0361336448598;0.0407105956826
data,1241343600,0.0361288250409;0.040701079227
data,1241343600,0.0361250583839;0.0406961869619
data,1241343900,0.0361204763017;0.0406912970551
data,1241343900,0.0361154295051;0.0406825921782
data,1241343900,0.0361110851809;0.0406754494433
data,1241344200,0.0361081427905;0.0406665519699
data,1241344200,0.036103335666;0.0406623730529
data,1241344200,0.0360989972015;0.040654440937
data,1241344500,0.0360959431103;0.0406459139191
data,1241344500,0.0360920745921;0.0406379901738
data,1241344800,0.0360870426474;0.0406272168724
data,1241344800,0.0360825955266;0.040622055128
data,1241344800,0.0360779175402;0.0406155008673
data,1241345100,0.0360732417327;0.0406079916017
data,1241345100,0.0360693830035;0.0406063489105
data,1241345100,0.0360652932961;0.0406006006006
data,1241345400,0.0360616709332;0.0405964471981
data,1241345400,0.0360571195905;0.0405864004685
data,1241345400,0.0360541986508;0.0405841053957
data,1241345700,0.0360503488372;0.0405762175559
data,1241345700,0.0360451057894;0.0405663819087
data,1241345700,0.0360411436541;0.0405613475082
data,1241346000,0.0360382291425;0.0405545630308
data,1241346000,0.0360350836431;0.0405497979116
data,1241346000,0.036031475029;0.0405423914532
data,1241346300,0.0360281003251;0.0405422588249
data,1241346300,0.0360241467379;0.0405351886802
data,1241346300,0.0360205431755;0.0405276265847
data,1241346600,0.0360176375029;0.0405216205716
data,1241346600,0.0360133410673;0.040511424984
data,1241346600,0.0360099744839;0.040503676713
data,1241346900,0.0360062615955;0.0405017737379
data,1241346900,0.0360025504289;0.0404953856593
data,1241346900,0.035997566064;0.0404910460472
data,1241347200,0.0359946697567;0.0404881904362
data,1241347200,0.0359909638554;0.0404785827862
