
New Run at  09/29/2015 00:38:04
, Time,RandomCTR;CoLinUCBCTR
data,1241679300,0.0369391707009;0.0464380017821
data,1241679600,0.0369382278659;0.0464362786771
data,1241679600,0.0369372500877;0.0464346593231
data,1241679600,0.0369362724467;0.0464319176618
data,1241679600,0.0369358560707;0.0464299193738
data,1241679600,0.0369352293449;0.0464294231314
data,1241679900,0.0369343923136;0.0464306381891
data,1241679900,0.0369335904628;0.0464288314092
data,1241679900,0.0369329990884;0.0464289242319
data,1241679900,0.0369319870986;0.0464255794471
data,1241680200,0.0369312206408;0.0464235983469
data,1241680200,0.0369302439708;0.0464229489693
data,1241680200,0.036929022082;0.0464257524331
data,1241680200,0.0369280807514;0.0464261212271
data,1241680500,0.0369270344151;0.0464251085067
data,1241680500,0.0369263386599;0.0464249603202
data,1241680500,0.0369256780433;0.0464238789129
data,1241680500,0.0369246320953;0.0464242477326
data,1241680800,0.0369233410413;0.0464214064695
data,1241680800,0.0369223304372;0.0464223797565
data,1241680800,0.0369210747565;0.0464200557913
data,1241680800,0.036919924338;0.0464178197412
data,1241681100,0.0369187740806;0.0464161193937
data,1241681100,0.0369179041748;0.046413658635
data,1241681100,0.036917034391;0.0464104907681
data,1241681100,0.0369157795209;0.0464097742269
data,1241681100,0.0369147349254;0.0464098339862
data,1241681400,0.0369139355742;0.0464059098613
data,1241681400,0.036913136335;0.0464045709641
data,1241681400,0.0369123722168;0.0464044934654
data,1241681400,0.0369117832388;0.046405260746
data,1241681700,0.0369105992719;0.0464037501455
data,1241681700,0.0369100105005;0.0464053087175
data,1241681700,0.0369090368193;0.0464051778784
data,1241681700,0.0369080632743;0.0464038240991
data,1241682000,0.036907299832;0.0464046255629
data,1241682000,0.0369063615368;0.0464027715803
data,1241682000,0.036905493352;0.0464001423044
data,1241682000,0.0369041004828;0.0463977731203
data,1241682300,0.0369031276238;0.0463967108491
data,1241682300,0.0369020149724;0.0463933415536
data,1241682300,0.0369009024766;0.0463906793331
data,1241682600,0.0368995103183;0.0463915157945
data,1241682600,0.0368986779519;0.0463902670674
data,1241682600,0.0368973910611;0.0463882929547
data,1241682600,0.0368968736886;0.0463868728305
data,1241682900,0.0368961815512;0.0463875719112
data,1241682900,0.0368955244755;0.0463854114437
data,1241682900,0.036893993427;0.0463826481455
data,1241682900,0.036893021955;0.0463803166714
data,1241683200,0.0368921554919;0.0463783976702
data,1241683200,0.0368911493289;0.0463766849744
data,1241683200,0.0368900034953;0.046374114184
data,1241683200,0.0368888228715;0.0463725244162
data,1241683500,0.0368876773607;0.0463723810194
data,1241683500,0.0368863922281;0.0463711348752
data,1241683500,0.0368855964777;0.046373520807
data,1241683500,0.0368841020266;0.0463707946657
data,1241683800,0.0368831667948;0.0463711512462
data,1241683800,0.0368823365008;0.0463715033057
data,1241683800,0.0368810521903;0.046371771774
data,1241684100,0.0368804317451;0.0463702860846
data,1241684100,0.0368788683199;0.0463674731551
data,1241684100,0.0368776892987;0.0463644399732
data,1241684100,0.0368768247538;0.0463652770792
data,1241684400,0.0368758206453;0.0463644633784
data,1241684400,0.0368747119212;0.0463615683166
data,1241684400,0.0368736731844;0.0463585365818
data,1241684400,0.0368727742476;0.0463582720833
data,1241684700,0.036872049993;0.0463548444339
data,1241684700,0.0368707323885;0.0463538751698
data,1241684700,0.0368694149679;0.0463508252616
data,1241684700,0.0368683071553;0.0463484661887
data,1241685000,0.0368670249895;0.0463465528546
data,1241685000,0.0368660221959;0.0463434355977
data,1241685000,0.0368649846454;0.0463418996461
data,1241685300,0.03686370298;0.0463411569955
data,1241685300,0.0368625261689;0.0463391077714
data,1241685300,0.0368614890796;0.0463373670066
data,1241685300,0.0368603823611;0.0463374664379
data,1241685600,0.036859136259;0.0463374090355
data,1241685600,0.0368579600949;0.0463369408636
data,1241685600,0.0368565050576;0.0463344620549
data,1241685600,0.0368556082589;0.0463324484469
data,1241685900,0.0368545023366;0.0463303324862
data,1241685900,0.036853536058;0.0463297081166
data,1241685900,0.0368524304345;0.0463285364141
data,1241686200,0.0368513947001;0.046328123327
data,1241686200,0.0368504288404;0.0463285654795
data,1241686200,0.0368495677032;0.0463280782205
data,1241686200,0.0368481489228;0.046329121774
data,1241686500,0.0368469046291;0.0463287913529
data,1241686500,0.0368459393517;0.0463278454252
data,1241686500,0.036844904503;0.0463240840656
data,1241686500,0.0368438697986;0.0463245263078
data,1241686800,0.0368430094787;0.046321640504
data,1241686800,0.0368417311311;0.0463191994923
data,1241686800,0.0368407317073;0.046320277324
data,1241687100,0.0368394188558;0.0463191958423
data,1241687100,0.0368383152174;0.0463180260503
data,1241687100,0.036837107225;0.0463167197567
data,1241687100,0.0368359690679;0.0463176266043
data,1241687400,0.0368347614072;0.0463163205396
data,1241687400,0.0368339370298;0.046315595383
data,1241687400,0.0368327645051;0.0463153687139
data,1241687400,0.0368314876724;0.0463134078946
data,1241687700,0.0368302806602;0.0463120683476
data,1241687700,0.0368292479109;0.046311978558
data,1241687700,0.0368281108558;0.0463121821816
data,1241688000,0.036826939145;0.0463110137303
data,1241688000,0.0368257327856;0.0463090741281
data,1241688000,0.0368245614035;0.0463068414267
data,1241688000,0.0368233901845;0.0463045748811
data,1241688300,0.0368221147153;0.0463074540776
data,1241688300,0.0368208046217;0.0463071598708
data,1241688300,0.0368195643096;0.0463055145544
data,1241688300,0.0368184981558;0.046305684424
data,1241688600,0.0368172929715;0.0463056292367
data,1241688600,0.0368165402547;0.0463041891039
data,1241688600,0.0368154745338;0.0463028993921
data,1241688600,0.036814235024;0.0463009821666
data,1241688900,0.0368131348268;0.0463000542869
data,1241688900,0.0368122086957;0.0462996584663
data,1241688900,0.0368109001113;0.0462985944123
data,1241689200,0.0368099047089;0.0462981305624
data,1241689200,0.0368088746696;0.0462983690674
data,1241689200,0.0368077752278;0.046297462133
data,1241689200,0.0368066063978;0.0462955259463
data,1241689500,0.0368053681941;0.0462935900447
data,1241689500,0.0368044430538;0.0462910751119
data,1241689500,0.0368037266217;0.046288948922
data,1241689500,0.0368024888765;0.0462894605709
data,1241689800,0.0368013903372;0.046286823748
data,1241689800,0.0368002224385;0.0462864157336
data,1241689800,0.0367988461806;0.0462854216155
data,1241689800,0.0367978176258;0.0462848228871
data,1241690100,0.0367972756967;0.0462830932505
data,1241690100,0.036796143155;0.0462808190556
data,1241690100,0.0367947675631;0.0462778569437
data,1241690100,0.0367942607004;0.046276128159
data,1241690400,0.0367934412562;0.0462751351785
data,1241690400,0.0367926219258;0.0462773226556
data,1241690400,0.0367912122265;0.0462762616553
data,1241690400,0.0367901500417;0.0462747376395
data,1241690700,0.0367889838161;0.0462739151633
data,1241690700,0.0367876093902;0.0462714520281
data,1241690700,0.0367865129523;0.046271072161
data,1241690700,0.0367858333333;0.0462730549171
data,1241690700,0.0367849107701;0.0462719266001
data,1241691000,0.0367840577698;0.0462698932533
data,1241691000,0.036782927168;0.0462703374992
