
NewRunat  10/10/2015 12:37:10
,Time,RandomCTR;CoLinCTR;accesses;click 
data,1241174400,0.0274042553191;0.0301733361866;14019.0;423.0
data,1241174400,0.0274190140845;0.0301072214727;14083.0;424.0
data,1241174400,0.0274895104895;0.0299519638316;14156.0;424.0
data,1241174700,0.0275590277778;0.0300604017418;14238.0;428.0
data,1241174700,0.0275965517241;0.0300767620377;14330.0;431.0
data,1241174700,0.0276609589041;0.030219018575;14428.0;436.0
data,1241174700,0.0276700680272;0.0302967706397;14523.0;440.0
data,1241174700,0.0277027027027;0.0305207691781;14613.0;446.0
data,1241175000,0.0277080536913;0.0304637562899;14706.0;448.0
data,1241175000,0.02777;0.030458566894;14807.0;451.0
data,1241175000,0.0277748344371;0.0304473207699;14911.0;454.0
data,1241175000,0.0277664473684;0.0305272278878;15003.0;458.0
data,1241175300,0.0277941176471;0.0305798252581;15108.0;462.0
data,1241175300,0.0278344155844;0.0305062458909;15210.0;464.0
data,1241175300,0.0278483870968;0.0305188864201;15302.0;467.0
data,1241175300,0.0278814102564;0.0306943543154;15410.0;473.0
data,1241175300,0.0280031847134;0.0307057153916;15502.0;476.0
data,1241175600,0.0280284810127;0.0308056872038;15614.0;481.0
data,1241175600,0.0280691823899;0.0307584537986;15703.0;483.0
data,1241175600,0.028109375;0.0308782586687;15804.0;488.0
data,1241175600,0.028201863354;0.0310711365495;15899.0;494.0
data,1241175600,0.0281944444444;0.031177756951;16005.0;499.0
data,1241175900,0.0282331288344;0.0311704439615;16105.0;502.0
data,1241175900,0.0282835365854;0.031215299198;16210.0;506.0
data,1241175900,0.0282848484848;0.031135082128;16316.0;508.0
data,1241175900,0.0282921686747;0.0312157054018;16402.0;512.0
data,1241175900,0.0282814371257;0.0313219435357;16506.0;517.0
data,1241176200,0.0283333333333;0.0313628702143;16612.0;521.0
data,1241176200,0.0283875739645;0.0316368638239;16721.0;529.0
data,1241176200,0.0283941176471;0.0318054812437;16821.0;535.0
data,1241176200,0.0284970760234;0.0319626609949;16926.0;541.0
data,1241176200,0.0285610465116;0.0320723684211;17024.0;546.0
data,1241176500,0.0285924855491;0.0320996316436;17103.0;549.0
data,1241176500,0.0286436781609;0.0323705468705;17207.0;557.0
data,1241176500,0.02868;0.0325471152734;17298.0;563.0
data,1241176500,0.0287357954545;0.0325712316176;17408.0;567.0
data,1241176500,0.028790960452;0.0327044025157;17490.0;572.0
data,1241176500,0.0288061797753;0.0326229042342;17595.0;574.0
data,1241176800,0.028812849162;0.0326535223999;17701.0;578.0
data,1241176800,0.0288111111111;0.0326239541805;17809.0;581.0
data,1241176800,0.0288563535912;0.0325207787137;17927.0;583.0
data,1241176800,0.0288928571429;0.0324387268493;18034.0;585.0
data,1241176800,0.0289316939891;0.0325589095525;18121.0;590.0
data,1241177100,0.0289782608696;0.0327607967953;18223.0;597.0
data,1241177100,0.0290135135135;0.0326982913915;18319.0;599.0
data,1241177100,0.0290215053763;0.0328536519142;18415.0;605.0
data,1241177100,0.0290614973262;0.032803718115;18504.0;607.0
data,1241177100,0.029164893617;0.0328257009094;18583.0;610.0
data,1241177100,0.0291984126984;0.0328263896326;18674.0;613.0
data,1241177400,0.0292210526316;0.0327510917031;18778.0;615.0
data,1241177400,0.0292356020942;0.0326800847458;18880.0;617.0
data,1241177400,0.029265625;0.0326270293063;18972.0;619.0
data,1241177400,0.0293082901554;0.0327164053898;19073.0;624.0
data,1241177400,0.0293195876289;0.0326671189271;19163.0;626.0
data,1241177400,0.0293923076923;0.0326210973965;19282.0;629.0
data,1241177700,0.0294668367347;0.0324825986079;19395.0;630.0
data,1241177700,0.0295076142132;0.0325361798214;19486.0;634.0
data,1241177700,0.0295176767677;0.0324655436447;19590.0;636.0
data,1241177700,0.0295879396985;0.0325203252033;19680.0;640.0
data,1241177700,0.0296125;0.032594392145;19758.0;644.0
data,1241177700,0.0296865671642;0.0326952141058;19850.0;649.0
data,1241178000,0.029698019802;0.0327663204376;19929.0;653.0
data,1241178000,0.0297536945813;0.0330219313583;20017.0;661.0
data,1241178000,0.0297867647059;0.0331030369303;20119.0;666.0
data,1241178000,0.0298365853659;0.0331734809908;20227.0;671.0
data,1241178000,0.0299174757282;0.0331825779176;20342.0;675.0
data,1241178000,0.0299371980676;0.0333871836295;20427.0;682.0
data,1241178000,0.0299903846154;0.0332797349315;20523.0;683.0
data,1241178300,0.030033492823;0.033301017935;20630.0;687.0
data,1241178300,0.0300666666667;0.0334667502532;20737.0;694.0
data,1241178300,0.03013507109;0.0335876397486;20841.0;700.0
data,1241178300,0.0301768867925;0.0336134453782;20944.0;704.0
data,1241178300,0.030220657277;0.0337548730627;21034.0;710.0
data,1241178300,0.0302710280374;0.0340290595864;21129.0;719.0
data,1241178600,0.0303162790698;0.0341123256691;21224.0;724.0
data,1241178600,0.0303726851852;0.0341042360557;21317.0;727.0
data,1241178600,0.0304239631336;0.0343411720791;21432.0;736.0
data,1241178600,0.0304908256881;0.034415493939;21531.0;741.0
data,1241178600,0.0305228310502;0.0345943945981;21622.0;748.0
data,1241178600,0.0305477272727;0.0346732974168;21717.0;753.0
