
New Run at  08/21/2015 21:51:30
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1289255362000,0;0;0;0
data,1289255159000,0;0;0;0
data,1289238901000,0;0;0;0
data,1289238545000,0;0;0;0
data,1289237833000,1;0;0;0
data,1289237730000,1;0;0;0
data,1289237522000,1;0;0;0
data,1289236740000,1;0;0;0
data,1289236319000,1;0;0;0
data,1289231754000,1;0;0;0
data,1289231615000,1;0;0;0
data,1289231533000,1;0;0;0
data,1289231262000,1;0;0;0
data,1289231212000,1;0;0;0
data,1289230744000,1;0;0;0
data,1289229826000,1;0;0;0
data,1289229561000,1;0;0;0
data,1289228999000,1;0;0;0
data,1289227893000,1;0;0;0
data,1289183525000,1;0;0;0
data,1289183292000,1;0;0;0
data,1289183129000,1;0;0;0
data,1289183011000,1;0;0;0
data,1289182931000,1;0;0;0
data,1289182797000,1;0;0;0
data,1289182702000,1;0;0;0
data,1289182632000,1;0;0;0
data,1289153999000,1;0;0;0
data,1289152872000,1;0;0;0
data,1289152789000,1;0;0;0
data,1289087716000,1;0;0;0
data,1289086944000,1;0;0;0
data,1289086859000,1;0;0;0
data,1289086553000,2;0;0;0
data,1288904866000,3;0;0;0
data,1288896397000,3;0;0;0
data,1288882706000,3;0;0;0
data,1288882469000,3;0;0;0
data,1288882432000,3;0;0;0
data,1288882374000,3;1;1;1
data,1288882262000,3;1;1;1
data,1288882203000,4;1;1;1
data,1288879685000,4;1;1;1
data,1288879640000,4;1;1;1
data,1288630690000,4;2;2;2
