
New Run at  08/21/2015 22:15:03
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1288882262000,0;0;0;0
data,1288981626000,2;1;1;1
data,1283166077000,2;1;1;1
data,1288189441000,7;1;1;1
