
New Run at  09/20/2015 17:49:04
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1274441569000,2;5;0;5
data,1281614173000,3;6;0;6
data,1282701427000,8;7;0;6
data,1279136523000,10;9;0;8
data,1288517914000,14;13;1;11
data,1288599864000,17;15;1;14
data,1288551109000,19;17;1;16
data,1282165049000,22;19;1;19
data,1288957254000,23;20;1;20
data,1279545848000,24;23;1;23
data,1284783331000,26;26;1;26
data,1284301963000,27;29;1;28
data,1267186834000,29;32;1;31
data,1280351207000,32;34;1;32
data,1285239123000,37;36;1;35
data,1286084910000,39;38;1;37
data,1266842687000,40;40;1;40
data,1174079479000,40;41;1;42
data,1289277726000,41;43;1;44
data,1284731231000,44;46;1;46
data,1181820498000,45;47;1;47
data,1182414438000,45;49;1;48
data,1288503650000,45;52;1;50
data,1253683977000,48;54;1;50
data,1248803534000,48;56;1;52
data,1281525113000,51;56;1;52
data,1287558208000,54;56;1;52
data,1205886952000,55;58;1;53
data,1155509348000,55;61;1;57
data,1288453352000,57;66;1;60
data,1259151731000,59;67;1;61
data,1282040011000,61;71;1;66
data,1288405048000,61;73;1;67
data,1285817043000,61;78;1;71
data,1252368494000,63;80;1;73
data,1200694870000,65;82;1;76
data,1282174368000,66;83;1;76
data,1196780558000,70;85;1;78
data,1289196636000,73;87;1;79
data,1254666245000,73;90;1;82
data,1281263391000,76;93;1;84
data,1286878406000,79;95;1;87
data,1268916064000,82;96;1;88
data,1286061989000,83;97;1;88
data,1284739132000,85;100;1;91
data,1281523989000,85;103;1;94
data,1289209653000,87;105;1;94
data,1282901598000,90;109;1;97
data,1284723906000,93;110;1;99
data,1263820053000,96;113;1;102
data,1287665308000,96;114;1;105
data,1288777545000,97;117;1;107
data,1288943830000,100;121;1;110
data,1286865694000,102;123;1;113
data,1274429571000,104;124;1;113
data,1282750426000,105;127;1;118
data,1282441353000,107;130;1;120
data,1263933278000,109;134;1;124
data,1287412940000,112;135;1;124
data,1216595757000,112;135;1;124
data,1246324106000,113;137;1;125
data,1204793197000,116;138;1;127
data,1242723441000,118;138;1;128
data,1282574770000,120;141;1;132
data,1280280475000,124;145;1;135
data,1288828645000,125;146;1;138
data,1288505674000,126;151;1;142
data,1253627487000,130;154;1;146
data,1282694054000,130;157;1;151
data,1274696075000,132;161;1;156
data,1287168464000,133;163;1;158
data,1283976352000,137;167;1;159
data,1286635001000,142;169;1;163
data,1281553085000,143;172;1;165
data,1263915677000,146;173;1;168
data,1279808868000,148;176;1;169
data,1285914791000,151;178;1;171
data,1288784437000,152;181;1;174
data,1286518616000,153;182;1;176
data,1241213514000,153;186;1;179
data,1272827672000,156;188;1;182
data,1244926935000,158;188;1;182
data,1281078987000,159;190;1;186
data,1289172007000,159;192;1;187
data,1287011362000,160;195;1;192
data,1284094017000,161;200;1;196
data,1169946259000,161;201;1;197
data,1288815617000,164;207;1;203
data,1265368875000,164;208;1;205
data,1288781886000,165;211;1;206
data,1139521189000,168;215;1;210
data,1276674762000,169;216;1;211
data,1289214706000,169;218;1;215
data,1271762429000,169;220;1;219
data,1283899455000,174;222;1;221
data,1288908137000,175;226;1;224
data,1288706069000,178;230;1;227
data,1288011291000,179;234;1;231
data,1288411942000,180;238;1;234
data,1226679869000,181;246;1;241
data,1174517102000,181;248;1;243
data,1187850252000,182;250;1;244
data,1267804327000,185;254;1;246
data,1244033102000,186;259;1;250
data,1269378630000,189;260;1;252
data,1283187368000,190;262;1;255
data,1284621831000,190;263;1;257
data,1269025043000,192;264;1;258
data,1256662519000,194;266;1;259
data,1265892814000,195;269;1;263
data,1265089245000,198;270;1;265
data,1288800729000,200;274;1;269
data,1155693846000,200;277;1;271
data,1285233698000,203;283;1;275
data,1288308350000,208;283;1;276
data,1288708851000,211;286;1;279
data,1289175068000,212;288;1;282
data,1286400471000,215;290;1;285
data,1249314901000,216;293;1;291
data,1271229438000,219;294;1;291
data,1218257474000,220;297;1;296
data,1284099517000,222;302;1;299
data,1286667236000,222;303;1;301
data,1289154836000,225;306;1;306
data,1281401247000,226;309;1;309
data,1287082015000,229;315;1;315
data,1272548465000,231;319;1;320
data,1274013201000,234;319;1;322
data,1266433591000,235;319;1;326
data,1274794133000,236;324;1;332
data,1288272278000,238;325;1;334
data,1288105938000,241;329;1;338
data,1259247711000,243;329;1;339
data,1278518125000,243;333;1;343
data,1206298407000,248;333;1;343
data,1264461334000,250;338;1;346
data,1278694644000,253;340;1;348
data,1285881862000,255;342;1;352
data,1284740205000,257;343;1;354
data,1288119438000,261;345;1;357
data,1276551502000,263;346;1;358
data,1288915614000,265;349;1;362
data,1284477095000,268;355;1;368
data,1286701983000,271;357;1;369
data,1288909431000,272;359;1;371
data,1285337298000,273;362;1;376
data,1288723320000,275;366;1;378
data,1259798738000,275;366;1;379
data,1289224367000,277;370;1;384
data,1283243470000,280;374;1;388
data,1273188242000,281;379;1;391
data,1276469118000,282;381;1;394
data,1201792302000,285;385;1;397
data,1269264548000,288;388;1;400
data,1287412369000,290;390;1;402
data,1279809545000,293;393;1;407
data,1287731201000,295;393;1;408
data,1284389922000,298;397;1;411
data,1278956195000,302;397;1;412
data,1286215137000,305;402;1;417
data,1248356183000,306;404;1;422
data,1283744903000,307;407;1;425
data,1285838152000,308;411;1;428
data,1238269332000,312;414;1;432
data,1210344780000,316;417;1;435
data,1284379924000,317;420;1;437
data,1248435978000,320;425;1;442
data,1272986724000,322;433;1;448
data,1286484451000,324;435;1;449
data,1283859964000,329;437;1;451
data,1288030057000,329;439;1;454
data,1172457765000,333;442;1;457
data,1230586251000,336;445;1;460
data,1286547258000,337;447;1;463
data,1286108621000,338;450;1;467
data,1236381296000,339;455;1;473
data,1288229516000,342;457;1;473
data,1282309042000,344;458;1;474
data,1285507253000,345;460;1;477
data,1288585970000,347;461;1;478
data,1270215702000,350;462;1;479
data,1277712363000,353;464;1;482
data,1286229904000,355;465;1;482
data,1274370467000,356;467;1;483
data,1287493472000,357;467;1;484
data,1284628860000,360;470;1;486
data,1287010489000,364;470;1;487
data,1288223160000,367;472;1;489
data,1285934947000,370;474;1;491
data,1283972979000,370;479;1;495
data,1209824182000,373;481;1;499
data,1286175556000,376;484;1;503
data,1249263833000,378;484;1;504
data,1288115014000,380;488;1;508
data,1280831205000,381;491;1;512
data,1279887662000,381;493;1;516
data,1171368080000,382;495;1;518
data,1282630903000,383;498;1;521
data,1260170322000,385;503;1;527
data,1286205376000,385;504;1;529
data,1199328844000,386;504;1;529
data,1288645353000,386;506;1;531
data,1157232747000,387;510;1;535
data,1260813957000,387;513;1;537
data,1287398596000,389;517;1;541
