
New Run at  08/21/2015 09:43:02
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1259622000000,0;0;0;0
data,1177970400000,1;6;7;5
data,1162335600000,2;7;8;8
data,1209592800000,4;14;15;15
data,1209592800000,6;23;24;24
data,1243807200000,6;33;34;34
data,1264978800000,7;37;48;41
data,1264978800000,8;55;62;52
data,1264978800000,9;72;80;65
data,1293836400000,11;78;89;71
data,1264978800000,13;87;97;80
data,1212271200000,14;99;111;92
data,1214863200000,14;122;134;115
data,1217541600000,15;134;146;127
data,1285884000000,17;135;147;128
data,1288566000000,19;135;147;128
data,1249077600000,19;138;150;131
data,1217541600000,19;140;152;133
data,1214863200000,22;144;156;137
data,1283292000000,23;166;167;141
data,1298934000000,24;205;196;173
data,1291158000000,24;232;228;208
data,1304596461074,29;264;259;240
data,1304596459079,34;285;286;270
data,1298934000000,36;321;324;309
data,1280613600000,40;350;350;332
data,1293836400000,42;356;356;338
data,1214863200000,43;362;362;344
data,1212271200000,43;376;376;358
data,1209592800000,47;411;405;387
data,1238536800000,47;436;426;409
data,1225494000000,47;452;439;430
data,1235862000000,49;476;460;451
data,1217541600000,51;495;479;471
data,1235862000000,52;511;493;485
data,1235862000000,54;537;519;510
data,1225494000000,55;559;540;532
data,1275343200000,59;571;555;547
data,1283292000000,62;582;566;564
data,1288566000000,64;585;569;567
data,1280613600000,67;590;574;572
data,1296514800000,67;594;578;576
data,1288566000000,68;603;587;585
data,1288566000000,70;607;591;589
data,1288566000000,72;613;597;595
data,1285884000000,75;626;610;608
data,1291158000000,77;631;615;613
data,1288566000000,79;640;624;622
data,1288566000000,81;644;628;626
data,1280613600000,83;647;631;629
data,1288566000000,86;651;635;633
data,1277935200000,87;654;638;647
data,1280613600000,89;655;638;647
data,1280613600000,91;656;638;654
data,1280613600000,93;660;645;667
data,1280613600000,98;664;661;684
data,1267398000000,101;685;678;698
data,1264978800000,102;714;704;722
data,1264978800000,105;721;711;729
data,1267398000000,107;731;720;739
data,1277935200000,109;732;721;740
data,1288566000000,111;732;721;740
data,1277935200000,111;771;739;774
data,1291158000000,112;807;773;809
data,1277935200000,114;845;812;848
data,1304596903908,117;865;835;869
data,1293836400000,118;871;841;875
data,1257030000000,119;884;849;891
data,1214863200000,120;912;881;926
data,1201820400000,122;936;904;946
data,1241128800000,126;942;912;954
data,1241128800000,127;946;916;958
data,1257030000000,129;966;932;988
data,1257030000000,130;978;941;1001
data,1296514800000,133;987;948;1010
data,1296514800000,134;994;953;1026
data,1296514800000,137;1001;963;1037
data,1296514800000,137;1016;977;1050
data,1296514800000,140;1034;993;1067
data,1296514800000,142;1059;1018;1091
data,1296514800000,143;1073;1030;1104
data,1193871600000,147;1086;1042;1117
data,1201820400000,149;1109;1065;1140
data,1196463600000,150;1139;1095;1170
data,1180648800000,152;1182;1138;1213
data,1201820400000,157;1226;1182;1257
data,1193871600000,160;1256;1212;1287
data,1241128800000,163;1292;1248;1323
data,1209592800000,163;1323;1279;1354
data,1238536800000,163;1354;1310;1385
data,1214863200000,166;1364;1320;1395
data,1212271200000,168;1393;1349;1424
data,1217541600000,170;1414;1370;1445
data,1257030000000,172;1421;1377;1452
data,1222812000000,174;1421;1377;1452
data,1222812000000,174;1421;1381;1452
data,1199142000000,176;1422;1383;1453
data,1296514800000,177;1442;1393;1465
data,1272664800000,178;1467;1402;1484
data,1288566000000,180;1472;1405;1489
data,1257030000000,181;1479;1412;1496
data,1254348000000,186;1493;1426;1510
data,1212271200000,186;1507;1440;1524
data,1288566000000,187;1537;1470;1554
data,1249077600000,189;1555;1488;1572
data,1288566000000,189;1576;1509;1593
data,1285884000000,192;1596;1529;1613
data,1288566000000,194;1605;1538;1622
data,1249077600000,195;1621;1554;1638
data,1207000800000,195;1623;1557;1641
data,1246399200000,196;1635;1568;1654
