
New Run at  08/21/2015 00:53:14
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1259622000000,0;0;0;0
data,1177970400000,1;6;7;5
data,1162335600000,3;7;8;8
data,1209592800000,6;14;15;15
data,1209592800000,6;23;24;24
data,1243807200000,9;33;34;34
data,1264978800000,12;37;48;41
data,1264978800000,14;55;62;52
data,1264978800000,16;72;80;65
data,1293836400000,17;78;89;71
data,1264978800000,19;87;97;80
data,1212271200000,20;99;111;92
data,1214863200000,23;122;134;115
data,1217541600000,25;134;146;127
data,1285884000000,26;135;147;128
data,1288566000000,27;135;147;128
data,1249077600000,29;138;150;131
data,1217541600000,34;140;152;133
data,1214863200000,35;144;156;137
data,1283292000000,38;166;167;141
