
New Run at  07/20/2016 19:55:51
, Time, RandomReward; LearnWReward
data,1243807200000,390;6150;1708
data,1293836400000,390;17217;1708
data,1170284400000,390;2708;1708
data,1296514800000,390;67;1709
data,1209592800000,390;4331;1709
data,1220220000000,390;6429;1709
data,1164927600000,390;1076;1710
data,1196463600000,390;6569;1710
data,1264978800000,390;523;1711
data,1183240800000,390;80;1711
data,1199142000000,390;3735;1711
data,1251756000000,390;2548;1711
data,1241128800000,390;995;1712
data,1291158000000,390;386;1712
data,1193871600000,390;7383;1712
data,1267398000000,390;5100;1712
data,1285884000000,390;9459;1712
data,1204326000000,390;6060;1712
data,1209592800000,390;95;1712
data,1243807200000,390;3596;1712
data,1251756000000,390;4787;1713
data,1209592800000,390;4135;1713
data,1277935200000,390;4371;1713
data,1288566000000,390;14134;1713
data,1214863200000,390;17382;1713
data,1304668709192,390;13074;1713
data,1267398000000,390;9699;1713
data,1233442800000,390;1885;1714
data,1228086000000,390;2946;1714
data,1191189600000,390;12640;1714
data,1283292000000,390;11024;1714
data,1262300400000,390;10146;1714
data,1275343200000,390;541;1714
data,1277935200000,390;2855;1715
data,1254348000000,390;9783;1716
data,1304693859513,390;72;1717
data,1199142000000,391;14628;1717
data,1212271200000,391;1081;1718
data,1162335600000,391;6038;1718
data,1267398000000,391;238;1719
data,1138748400000,391;4573;1719
data,1293836400000,391;1803;1720
data,1259622000000,391;4018;1720
data,1262300400000,391;4263;1720
data,1162335600000,391;6980;1720
data,1214863200000,391;6619;1721
data,1283292000000,391;6296;1721
data,1262300400000,391;14897;1721
data,1228086000000,391;12994;1721
data,1235862000000,391;668;1721
data,1243807200000,391;351;1721
data,1298934000000,391;871;1721
data,1233442800000,391;11623;1721
data,1272664800000,391;612;1721
data,1128117600000,392;3272;1721
data,1267398000000,392;5194;1721
data,1201820400000,392;8350;1722
data,1257030000000,392;502;1722
data,1259622000000,392;2022;1723
data,1264978800000,392;2548;1723
data,1209592800000,392;2857;1723
data,1277935200000,392;1847;1723
data,1217541600000,392;285;1724
data,1246399200000,392;1264;1725
data,1154383200000,392;192;1725
data,1272664800000,392;3718;1725
data,1191189600000,392;3563;1725
data,1209592800000,392;690;1725
data,1275343200000,392;804;1725
data,1201820400000,392;179;1725
data,1230764400000,392;7800;1725
data,1246399200000,392;9146;1725
data,1241128800000,392;484;1725
data,1193871600000,392;4320;1725
data,1291158000000,392;1886;1725
data,1238536800000,392;9139;1725
data,1280613600000,392;3564;1725
data,1243807200000,392;8441;1725
data,1241128800000,392;12124;1725
data,1267398000000,392;13393;1725
data,1225494000000,392;5116;1725
data,1225494000000,392;311;1726
data,1272664800000,392;15865;1726
data,1267398000000,392;77;1726
data,1241128800000,392;1062;1726
data,1246399200000,392;2671;1727
data,1212271200000,393;2629;1728
data,1262300400000,393;5168;1728
data,1288566000000,393;5747;1728
data,1230764400000,393;9160;1728
data,1183240800000,393;3796;1728
data,1283292000000,394;1196;1728
data,1283292000000,394;320;1728
data,1293836400000,395;5173;1728
data,1214863200000,395;56;1729
data,1280613600000,395;2797;1729
data,1304596432678,395;11833;1729
data,1285884000000,395;11105;1729
data,1222812000000,395;10170;1729
data,1280613600000,395;2673;1729
data,1293836400000,395;2950;1729
data,1288566000000,395;298;1730
data,1188597600000,395;7871;1730
data,1270072800000,395;9543;1730
data,1209592800000,395;2630;1730
data,1291158000000,395;325;1730
data,1257030000000,396;13207;1730
data,1296514800000,396;14845;1730
data,1293836400000,396;4852;1730
data,1230764400000,396;455;1731
data,1220220000000,396;11973;1731
data,1191189600000,396;10833;1732
data,1170284400000,396;6693;1732
data,1272664800000,396;830;1733
data,1167606000000,396;2502;1733
data,1293836400000,396;18535;1733
data,1191189600000,396;15483;1733
data,1280613600000,396;3171;1734
data,1146434400000,396;5141;1734
data,1267398000000,396;1006;1734
data,1243807200000,396;3198;1734
data,1291158000000,396;2220;1734
data,1241128800000,396;176;1735
data,1193871600000,396;939;1735
data,1246399200000,396;8122;1735
data,1201820400000,396;1883;1736
data,1272664800000,396;9348;1736
data,1193871600000,396;1153;1736
data,1272664800000,396;7929;1736
data,1275343200000,396;969;1736
data,1222812000000,396;1372;1736
data,1270072800000,396;652;1736
data,1288566000000,396;2035;1736
data,1159653600000,396;526;1736
data,1254348000000,396;11361;1736
data,1288566000000,396;72;1737
data,1304703010065,396;1253;1737
data,1293836400000,396;1540;1737
data,1254348000000,396;2780;1737
data,1267398000000,396;2437;1737
data,1162335600000,396;6150;1737
data,1304614639290,396;3774;1737
data,1136070000000,396;15586;1737
data,1283292000000,396;9256;1737
data,1262300400000,396;1406;1737
data,1291158000000,396;1051;1737
data,1183240800000,396;5787;1737
data,1191189600000,396;5545;1737
data,1251756000000,396;1556;1738
data,1207000800000,396;4245;1738
data,1193871600000,396;17522;1738
data,1280613600000,396;16380;1738
data,1175378400000,396;1058;1738
data,1257030000000,396;13754;1738
data,1280613600000,396;2205;1738
data,1243807200000,396;13180;1738
data,1288566000000,396;2451;1739
data,1207000800000,396;464;1739
data,1170284400000,396;11332;1739
data,1162335600000,396;10977;1740
data,1220220000000,396;8003;1740
data,1162335600000,396;4277;1740
data,1188597600000,396;12508;1740
data,1288566000000,396;543;1741
data,1209592800000,396;3253;1741
data,1304674220847,396;288;1742
data,1243807200000,396;311;1743
data,1217541600000,396;5065;1744
data,1233442800000,396;5898;1744
data,1222812000000,396;15344;1744
data,1251756000000,396;12776;1744
data,1275343200000,396;4710;1744
data,1228086000000,396;998;1745
data,1217541600000,396;8907;1745
data,1270072800000,396;292;1745
data,1254348000000,396;11769;1745
data,1296514800000,396;5309;1745
data,1288566000000,396;8101;1745
data,1164927600000,396;1451;1745
data,1180648800000,396;1793;1746
data,1241128800000,396;2795;1746
data,1217541600000,396;3886;1747
data,1188597600000,397;16212;1747
data,1270072800000,397;9461;1747
data,1204326000000,397;528;1747
data,1209592800000,397;4203;1747
data,1254348000000,397;5181;1747
data,1196463600000,397;2940;1747
data,1207000800000,397;3920;1747
data,1225494000000,397;1338;1747
data,1272664800000,397;5360;1747
data,1288566000000,397;10001;1747
data,1270072800000,397;17631;1747
data,1246399200000,397;7017;1747
data,1212271200000,397;890;1747
data,1241128800000,397;3093;1747
data,1204326000000,397;10897;1747
data,1222812000000,397;7498;1747
data,1183240800000,397;3965;1747
data,1283292000000,397;10305;1747
data,1122847200000,397;1709;1747
data,1283292000000,397;12351;1747
data,1191189600000,397;1897;1748
data,1272664800000,397;14848;1748
data,1291158000000,397;6253;1748
data,1207000800000,397;412;1748
data,1285884000000,397;914;1748
data,1222812000000,397;2125;1748
data,1264978800000,397;2664;1749
data,1217541600000,397;1724;1749
data,1291158000000,397;333;1750
data,1257030000000,397;716;1751
data,1270072800000,397;6362;1752
data,1304705198360,397;14127;1753
data,1293836400000,397;1383;1753
data,1122847200000,397;75;1754
data,1228086000000,397;826;1754
data,1122847200000,397;7868;1754
data,1204326000000,397;233;1755
data,1272664800000,397;1897;1755
data,1296514800000,397;300;1755
data,1222812000000,397;72;1756
data,1143842400000,397;4252;1756
data,1257030000000,397;386;1757
data,1199142000000,397;5188;1758
data,1298934000000,397;707;1758
data,1183240800000,397;6544;1758
data,1212271200000,397;249;1759
data,1214863200000,397;292;1760
data,1241128800000,397;6173;1760
data,1212271200000,397;4075;1760
data,1138748400000,397;17613;1760
data,1264978800000,397;17390;1760
data,1304672921965,397;945;1760
data,1235862000000,397;3471;1761
data,1285884000000,397;11081;1762
data,1304609583158,397;4126;1762
data,1212271200000,397;15690;1762
data,1235862000000,397;7112;1762
data,1249077600000,397;16163;1762
data,1228086000000,397;617;1763
data,1196463600000,397;1832;1763
data,1241128800000,397;8497;1763
data,1241128800000,397;10027;1763
data,1154383200000,397;512;1764
data,1243807200000,397;11794;1765
data,1267398000000,397;9428;1765
data,1209592800000,397;11794;1765
data,1267398000000,397;95;1765
data,1280613600000,398;13357;1766
data,1304603633340,398;8051;1766
data,1267398000000,398;966;1766
data,1196463600000,398;824;1767
data,1146434400000,398;2753;1767
data,1225494000000,398;3289;1768
data,1280613600000,398;89;1769
data,1272664800000,398;1034;1769
data,1188597600000,398;8162;1770
data,1217541600000,398;18008;1770
data,1291158000000,398;951;1771
data,1177970400000,398;536;1771
data,1291158000000,398;2349;1771
data,1288566000000,398;7277;1771
data,1280613600000,398;6739;1771
data,1201820400000,398;2823;1771
data,1225494000000,399;4849;1771
data,1172703600000,399;8912;1771
data,1304671982895,399;690;1771
data,1233442800000,399;7817;1771
data,1241128800000,399;6353;1771
data,1220220000000,399;9253;1771
data,1125525600000,399;7018;1771
data,1122847200000,399;3281;1772
data,1233442800000,399;1119;1772
data,1283292000000,399;5487;1772
data,1277935200000,399;7248;1772
data,1277935200000,399;10839;1772
data,1251756000000,399;14636;1772
data,1254348000000,399;4574;1772
data,1183240800000,399;4260;1772
data,1180648800000,399;8230;1772
data,1220220000000,399;12401;1772
data,1214863200000,399;6376;1772
data,1251756000000,399;2347;1772
data,1233442800000,399;8046;1772
data,1262300400000,399;11581;1772
data,1246399200000,399;3502;1772
data,1288566000000,399;728;1772
data,1188597600000,399;17332;1772
data,1280613600000,399;2054;1772
data,1167606000000,399;1884;1772
data,1201820400000,399;50;1772
data,1298934000000,399;1810;1773
data,1249077600000,399;12480;1773
data,1212271200000,399;922;1773
data,1230764400000,399;6226;1773
data,1214863200000,399;1077;1773
data,1254348000000,399;12648;1773
data,1146434400000,399;6544;1774
data,1249077600000,399;11899;1774
data,1267398000000,399;1463;1774
data,1199142000000,399;1059;1774
data,1275343200000,399;6770;1774
data,1251756000000,399;190;1775
data,1259622000000,399;1860;1775
data,1164927600000,399;1064;1775
data,1262300400000,399;523;1775
data,1225494000000,399;77;1776
data,1288566000000,399;9232;1776
data,1267398000000,399;15986;1776
data,1225494000000,399;6176;1776
data,1241128800000,399;16468;1776
data,1220220000000,399;715;1777
data,1304598091069,399;6931;1777
data,1241128800000,399;953;1777
data,1246399200000,399;2411;1777
data,1296514800000,399;1900;1777
data,1207000800000,399;733;1777
data,1272664800000,399;89;1778
data,1185919200000,399;680;1779
data,1177970400000,399;1459;1780
data,1293836400000,399;3878;1781
data,1291158000000,399;1271;1781
data,1280613600000,399;15769;1781
data,1298934000000,399;14147;1781
data,1277935200000,399;10521;1781
data,1159653600000,399;13978;1781
data,1204326000000,399;509;1781
data,1214863200000,399;6980;1781
data,1251756000000,399;1155;1781
data,1246399200000,399;8274;1781
data,1238536800000,399;4332;1781
data,1272664800000,399;906;1782
data,1164927600000,399;13726;1782
data,1288566000000,399;3523;1782
data,1130799600000,399;3466;1783
data,1304605852797,399;2853;1783
data,1298934000000,399;6378;1783
data,1228086000000,399;5625;1783
data,1267398000000,399;818;1783
data,1193871600000,399;2668;1784
data,1264978800000,399;867;1785
data,1291158000000,399;1705;1785
data,1272664800000,399;8068;1785
data,1212271200000,399;10455;1785
data,1204326000000,399;4117;1785
data,1241128800000,399;17522;1785
data,1196463600000,399;4137;1785
data,1225494000000,399;892;1785
data,1185919200000,399;1936;1785
data,1296514800000,399;880;1786
data,1146434400000,399;10447;1786
data,1251756000000,399;12312;1786
data,1243807200000,399;15955;1786
data,1304599345772,399;3625;1787
data,1228086000000,399;5672;1787
data,1172703600000,399;1066;1788
data,1264978800000,399;10310;1788
data,1293836400000,399;10951;1788
data,1159653600000,399;814;1789
data,1193871600000,399;9752;1789
data,1288566000000,399;2607;1789
data,1291158000000,399;344;1790
data,1304695857263,399;6309;1790
data,1230764400000,399;3731;1790
data,1230764400000,399;3735;1790
data,1259622000000,399;3464;1791
data,1283292000000,399;227;1792
data,1257030000000,399;9669;1792
data,1267398000000,399;10887;1792
data,1235862000000,399;11923;1792
data,1283292000000,399;2514;1792
data,1304600307435,399;2839;1792
data,1288566000000,399;5629;1793
data,1304700400526,399;61;1794
data,1230764400000,399;3470;1794
data,1243807200000,399;295;1795
data,1209592800000,399;1405;1795
data,1214863200000,399;1412;1796
data,1280613600000,399;15776;1796
data,1275343200000,399;1515;1796
data,1277935200000,399;14147;1796
data,1214863200000,399;527;1797
data,1172703600000,399;2168;1797
data,1199142000000,399;6698;1797
data,1201820400000,399;14130;1797
data,1183240800000,399;78;1797
data,1225494000000,399;1099;1798
data,1270072800000,399;3026;1799
data,1214863200000,399;1098;1800
data,1249077600000,399;3611;1800
data,1151704800000,399;484;1800
data,1154383200000,400;2509;1800
data,1304673269389,400;621;1801
data,1214863200000,400;3371;1801
data,1293836400000,400;116;1801
data,1291158000000,400;13238;1801
data,1212271200000,400;156;1801
data,1257030000000,400;5688;1801
data,1230764400000,400;6186;1801
data,1277935200000,400;13375;1801
data,1243807200000,400;1416;1801
data,1283292000000,400;2521;1801
data,1228086000000,400;1729;1801
data,1275343200000,400;475;1802
data,1304935695620,400;707;1802
data,1254348000000,400;6444;1802
data,1254348000000,400;70;1802
data,1288566000000,400;17286;1802
data,1207000800000,400;3495;1802
data,1241128800000,400;18208;1802
data,1235862000000,400;2711;1803
data,1185919200000,400;11018;1803
data,1212271200000,400;621;1803
data,1304598208161,400;6497;1803
data,1217541600000,400;5056;1803
data,1272664800000,401;2102;1803
data,1254348000000,401;320;1803
data,1164927600000,401;6574;1803
data,1243807200000,401;1044;1804
data,1196463600000,401;16313;1804
data,1230764400000,401;4493;1804
data,1288566000000,401;9462;1804
data,1280613600000,401;1816;1804
data,1220220000000,401;12777;1804
data,1298934000000,401;1013;1804
data,1293836400000,401;13214;1804
data,1283292000000,401;7069;1804
data,1183240800000,401;9503;1804
data,1298934000000,401;2360;1804
data,1270072800000,401;622;1805
data,1220220000000,401;408;1806
data,1230764400000,401;6133;1806
data,1225494000000,401;5200;1806
data,1199142000000,401;1892;1807
data,1199142000000,401;1369;1808
data,1222812000000,401;1134;1809
data,1246399200000,401;1595;1809
data,1249077600000,401;6799;1809
data,1209592800000,401;1121;1810
data,1233442800000,401;11833;1810
data,1138748400000,401;917;1810
data,1220220000000,401;5641;1810
data,1201820400000,401;10658;1810
data,1264978800000,401;12551;1810
data,1243807200000,401;5932;1810
data,1298934000000,401;3588;1811
data,1214863200000,401;3562;1812
data,1146434400000,401;3416;1812
data,1257030000000,401;89;1813
data,1217541600000,401;10640;1813
data,1175378400000,402;13543;1813
data,1228086000000,402;535;1813
data,1201820400000,402;289;1814
data,1267398000000,402;601;1814
data,1188597600000,402;2372;1814
data,1283292000000,402;2641;1814
data,1304688377948,402;5795;1814
data,1196463600000,402;17873;1814
data,1275343200000,402;889;1814
data,1257030000000,403;13688;1814
data,1283292000000,403;325;1814
data,1257030000000,403;15865;1814
data,1275343200000,403;15322;1814
data,1251756000000,403;1013;1814
data,1257030000000,403;1430;1814
data,1272664800000,403;14795;1814
data,1235862000000,403;707;1814
data,1159653600000,403;9980;1814
data,1291158000000,403;938;1814
data,1222812000000,403;9982;1814
data,1222812000000,403;11139;1814
data,1214863200000,403;1620;1815
data,1172703600000,403;12713;1815
data,1175378400000,403;4680;1815
data,1209592800000,403;535;1816
data,1217541600000,403;10686;1816
data,1283292000000,403;58;1816
data,1212271200000,403;1097;1816
data,1207000800000,403;475;1817
data,1285884000000,403;7429;1817
data,1254348000000,403;630;1818
data,1277935200000,403;318;1818
data,1220220000000,403;3994;1818
data,1167606000000,403;2506;1818
data,1172703600000,403;6804;1818
data,1207000800000,403;5172;1818
data,1254348000000,404;3576;1818
data,1291158000000,404;89;1819
data,1217541600000,404;767;1819
data,1183240800000,404;1113;1819
data,1251756000000,404;2370;1819
data,1291158000000,404;6347;1819
data,1246399200000,404;2723;1820
data,1298934000000,404;830;1820
data,1251756000000,404;15600;1820
data,1212271200000,404;6896;1821
data,1272664800000,404;16449;1821
data,1280613600000,404;17570;1821
data,1304614641148,404;4511;1821
data,1293836400000,404;4868;1821
data,1291158000000,404;1601;1821
data,1291158000000,404;1997;1821
data,1280613600000,404;13362;1821
data,1288566000000,404;2554;1822
data,1220220000000,404;2681;1822
data,1225494000000,404;15842;1822
data,1204326000000,404;534;1823
data,1212271200000,404;2451;1823
data,1157061600000,404;7042;1823
data,1217541600000,404;5264;1823
data,1291158000000,404;11264;1823
data,1254348000000,404;1423;1823
data,1170284400000,404;3173;1824
data,1291158000000,404;7145;1824
data,1288566000000,404;1249;1825
data,1230764400000,404;4616;1825
data,1151704800000,404;2797;1825
data,1136070000000,404;4883;1825
data,1280613600000,404;328;1826
data,1267398000000,404;706;1827
data,1183240800000,404;5691;1827
data,1217541600000,404;311;1828
data,1262300400000,404;17190;1828
data,1272664800000,404;2343;1828
data,1251756000000,404;4863;1828
data,1214863200000,404;4974;1829
data,1283292000000,404;6446;1829
data,1293836400000,404;5455;1829
data,1241128800000,404;329;1830
data,1154383200000,404;3302;1831
data,1228086000000,404;5185;1831
data,1238536800000,404;4932;1831
data,1193871600000,404;7897;1831
data,1298934000000,404;176;1831
data,1146434400000,404;9673;1831
data,1270072800000,404;4292;1831
data,1233442800000,404;2715;1831
data,1128117600000,404;5123;1831
data,1222812000000,404;1109;1831
data,1164927600000,404;13196;1831
data,1249077600000,404;285;1832
data,1251756000000,404;14827;1832
data,1249077600000,404;554;1832
data,1270072800000,404;840;1832
data,1251756000000,404;2387;1832
data,1172703600000,404;3976;1832
data,1196463600000,404;12509;1832
data,1214863200000,404;386;1832
data,1243807200000,404;94;1832
data,1280613600000,404;5735;1832
data,1201820400000,404;18198;1832
data,1285884000000,404;8103;1832
data,1277935200000,404;4725;1832
data,1201820400000,404;210;1832
data,1185919200000,404;3373;1833
data,1254348000000,404;17537;1833
data,1291158000000,404;2570;1834
data,1167606000000,404;15635;1835
data,1159653600000,404;296;1836
data,1183240800000,404;1884;1836
data,1233442800000,404;4284;1836
data,1177970400000,404;14061;1836
data,1214863200000,404;1374;1836
data,1257030000000,404;8043;1836
data,1298934000000,404;58;1836
data,1167606000000,404;15122;1836
data,1162335600000,404;3585;1836
data,1291158000000,404;2500;1836
data,1214863200000,404;6429;1836
data,1214863200000,404;14895;1836
data,1222812000000,404;1801;1836
data,1233442800000,405;15192;1836
data,1146434400000,405;3894;1836
data,1275343200000,405;7193;1836
data,1283292000000,405;12126;1836
data,1199142000000,405;3495;1836
data,1293836400000,405;11788;1836
data,1241128800000,405;3029;1836
data,1243807200000,405;7423;1836
data,1267398000000,405;7068;1836
data,1154383200000,405;4003;1836
data,1298934000000,405;644;1836
data,1267398000000,405;3024;1836
data,1204326000000,405;8068;1836
data,1241128800000,405;2951;1836
data,1270072800000,405;8464;1836
data,1249077600000,405;3482;1837
data,1304599591688,405;2548;1838
data,1162335600000,405;13231;1838
data,1243807200000,405;857;1838
data,1196463600000,405;9822;1838
data,1272664800000,405;89;1838
data,1251756000000,405;13123;1839
data,1167606000000,405;718;1840
data,1275343200000,405;4839;1840
data,1267398000000,405;5600;1840
data,1191189600000,405;1891;1840
data,1283292000000,405;11581;1840
data,1228086000000,405;316;1841
data,1230764400000,405;1368;1841
data,1180648800000,405;2546;1841
data,1304695407307,405;9232;1841
data,1277935200000,405;88;1841
data,1209592800000,405;4610;1841
data,1230764400000,405;6177;1841
data,1217541600000,405;3488;1841
data,1270072800000,405;1801;1841
data,1233442800000,405;1596;1841
data,1201820400000,405;2134;1841
data,1277935200000,405;9418;1841
data,1170284400000,405;627;1841
data,1183240800000,405;12817;1841
data,1272664800000,405;289;1842
data,1304698326914,405;1369;1842
data,1228086000000,405;279;1843
data,1254348000000,405;7290;1843
data,1209592800000,405;5100;1843
data,1220220000000,405;7891;1843
data,1267398000000,405;1556;1843
data,1275343200000,405;15183;1843
data,1304671586865,405;400;1843
data,1257030000000,405;9576;1843
data,1162335600000,405;285;1843
data,1177970400000,405;1672;1844
data,1272664800000,405;67;1845
data,1214863200000,405;11635;1845
data,1230764400000,405;15317;1845
data,1277935200000,405;4334;1845
data,1125525600000,405;8692;1846
data,1243807200000,406;1046;1846
data,1246399200000,406;328;1847
data,1285884000000,406;10125;1847
data,1214863200000,406;1346;1847
data,1304934693455,406;86;1847
data,1212271200000,406;237;1847
data,1196463600000,406;5767;1847
data,1177970400000,407;4915;1847
data,1235862000000,407;6687;1847
data,1138748400000,407;17905;1847
data,1298934000000,407;11293;1847
data,1214863200000,407;3281;1848
data,1170284400000,407;1935;1848
data,1267398000000,407;11917;1849
data,1241128800000,407;16124;1849
data,1298934000000,407;2657;1849
data,1209592800000,407;3451;1849
data,1191189600000,407;333;1850
data,1212271200000,407;5451;1850
data,1288566000000,408;13171;1850
data,1257030000000,408;17450;1850
data,1154383200000,408;257;1851
data,1238536800000,408;7316;1851
data,1146434400000,408;760;1851
data,1212271200000,408;995;1851
data,1222812000000,408;1420;1851
data,1280613600000,408;1604;1852
data,1212271200000,408;3667;1852
data,1283292000000,408;2638;1852
data,1267398000000,408;498;1853
data,1162335600000,408;11508;1853
data,1214863200000,408;525;1854
data,1214863200000,408;10981;1854
data,1272664800000,408;13394;1854
data,1267398000000,408;5261;1854
data,1230764400000,408;474;1854
data,1146434400000,408;6065;1854
data,1272664800000,408;4460;1855
data,1267398000000,408;99;1855
data,1217541600000,408;1344;1855
data,1296514800000,408;1244;1856
data,1128117600000,408;5072;1857
data,1277935200000,408;733;1857
data,1267398000000,408;707;1858
data,1159653600000,408;1861;1859
data,1222812000000,408;2893;1860
data,1296514800000,408;3376;1860
data,1183240800000,408;9157;1860
data,1280613600000,408;97;1861
data,1228086000000,408;11637;1861
data,1304698336730,408;15662;1861
data,1259622000000,408;295;1862
data,1272664800000,408;71;1862
data,1233442800000,408;1247;1863
data,1225494000000,408;17230;1863
data,1262300400000,408;10891;1864
data,1283292000000,408;985;1865
data,1283292000000,408;2869;1866
data,1270072800000,408;11714;1866
data,1280613600000,408;975;1866
data,1291158000000,408;3113;1866
data,1270072800000,408;11516;1866
data,1228086000000,408;497;1866
data,1285884000000,408;6542;1866
data,1296514800000,408;208;1866
data,1217541600000,408;6070;1866
data,1262300400000,408;5111;1866
data,1191189600000,408;1243;1866
data,1204326000000,408;13528;1866
data,1243807200000,408;10157;1866
data,1264978800000,408;7343;1866
data,1164927600000,408;514;1866
data,1293836400000,408;12628;1866
data,1228086000000,408;7421;1866
data,1220220000000,408;10030;1866
data,1199142000000,408;98;1867
data,1262300400000,408;3973;1868
data,1262300400000,408;1814;1869
data,1267398000000,408;18492;1869
data,1275343200000,409;5966;1869
data,1257030000000,409;192;1870
data,1188597600000,409;6833;1870
data,1257030000000,409;10220;1870
data,1257030000000,409;14147;1870
data,1270072800000,409;951;1870
data,1217541600000,409;233;1871
data,1272664800000,409;7828;1871
data,1264978800000,409;7798;1871
data,1270072800000,409;9865;1871
data,1251756000000,409;14444;1871
data,1204326000000,409;1479;1871
data,1298934000000,409;4566;1871
data,1228086000000,409;2498;1872
data,1133391600000,409;1810;1873
data,1270072800000,409;155;1874
data,1233442800000,409;2347;1875
data,1277935200000,409;5056;1875
data,1183240800000,409;4118;1876
data,1298934000000,409;4007;1876
data,1254348000000,409;11456;1876
data,1283292000000,409;11937;1876
data,1243807200000,409;227;1877
data,1243807200000,409;6726;1877
data,1175378400000,409;72;1878
data,1283292000000,409;10741;1878
data,1291158000000,409;344;1879
data,1251756000000,409;8497;1879
data,1235862000000,409;4767;1879
data,1233442800000,409;316;1880
data,1243807200000,409;1540;1880
data,1164927600000,409;18363;1881
data,1207000800000,409;724;1882
data,1283292000000,409;13632;1882
data,1204326000000,409;7928;1882
data,1291158000000,409;4203;1882
data,1238536800000,409;15537;1882
data,1196463600000,409;9823;1882
data,1257030000000,410;3097;1882
data,1291158000000,410;2633;1882
data,1270072800000,410;13983;1882
data,1230764400000,410;251;1883
data,1204326000000,410;481;1884
data,1220220000000,410;2787;1884
data,1246399200000,410;289;1885
data,1204326000000,410;17456;1885
data,1214863200000,410;1017;1885
data,1241128800000,410;1264;1886
data,1283292000000,410;4276;1886
data,1275343200000,410;15158;1886
data,1212271200000,410;3960;1887
data,1238536800000,410;2833;1887
data,1257030000000,410;2769;1887
data,1291158000000,410;6816;1887
data,1277935200000,410;10761;1887
data,1262300400000,410;857;1888
data,1191189600000,410;7248;1888
data,1193871600000,410;2765;1889
data,1283292000000,410;9667;1889
data,1212271200000,410;18538;1889
data,1270072800000,410;2198;1889
data,1154383200000,410;58;1889
data,1259622000000,410;1427;1889
data,1209592800000,410;2381;1889
data,1214863200000,410;3938;1889
data,1259622000000,410;1052;1889
data,1243807200000,410;909;1890
data,1228086000000,410;5927;1891
data,1264978800000,410;15869;1891
data,1217541600000,410;5260;1892
data,1285884000000,410;466;1893
data,1293836400000,410;8105;1893
data,1254348000000,410;18152;1893
data,1212271200000,410;4325;1893
data,1257030000000,410;331;1894
data,1259622000000,410;2209;1894
data,1222812000000,411;1885;1895
data,1267398000000,411;1828;1895
data,1238536800000,411;2247;1895
data,1241128800000,411;9699;1896
data,1298934000000,411;4494;1896
data,1141167600000,411;1345;1896
data,1296514800000,411;9366;1896
data,1230764400000,411;985;1896
data,1298934000000,412;302;1897
data,1293836400000,412;429;1897
data,1272664800000,412;2419;1898
data,1272664800000,412;707;1899
data,1207000800000,412;9658;1899
data,1157061600000,412;6347;1899
data,1138748400000,412;13268;1899
data,1162335600000,412;15087;1899
data,1243807200000,412;3749;1899
data,1285884000000,412;15815;1899
data,1230764400000,413;3243;1899
data,1175378400000,413;403;1899
data,1201820400000,413;1861;1899
data,1228086000000,413;7070;1899
data,1212271200000,413;1081;1899
data,1222812000000,413;233;1900
data,1238536800000,413;821;1901
data,1172703600000,413;7429;1901
data,1233442800000,413;2842;1901
data,1199142000000,413;9001;1901
data,1243807200000,413;11833;1901
data,1291158000000,413;6582;1901
data,1235862000000,413;7133;1901
data,1251756000000,413;11883;1901
data,1272664800000,413;8073;1901
data,1222812000000,413;4118;1902
data,1235862000000,413;9;1902
data,1159653600000,413;5692;1902
data,1254348000000,413;12132;1902
data,1243807200000,413;4561;1902
data,1214863200000,413;3909;1903
data,1251756000000,413;3823;1903
data,1277935200000,413;2797;1903
data,1288566000000,413;7331;1903
data,1285884000000,413;6949;1903
data,1157061600000,413;14874;1903
data,1164927600000,413;7018;1904
data,1262300400000,413;12621;1904
data,1230764400000,413;6126;1904
data,1251756000000,413;855;1904
data,1288566000000,413;6362;1904
data,1228086000000,413;7080;1904
data,1249077600000,413;67;1905
data,1272664800000,413;1338;1905
data,1235862000000,413;8754;1905
data,1270072800000,413;319;1905
data,1128117600000,413;12400;1905
data,1277935200000,413;8340;1905
data,1291158000000,413;13742;1905
data,1196463600000,413;12509;1905
data,1146434400000,413;1084;1905
data,1277935200000,413;5691;1905
data,1272664800000,413;75;1905
data,1212271200000,413;2565;1905
data,1304596467460,413;6782;1905
data,1196463600000,413;80;1905
data,1225494000000,413;3878;1905
data,1291158000000,413;344;1906
data,1257030000000,413;292;1907
data,1267398000000,413;7677;1907
data,1241128800000,414;1081;1907
data,1180648800000,414;6784;1907
data,1259622000000,414;306;1908
data,1196463600000,414;9892;1908
data,1230764400000,414;8735;1908
data,1162335600000,414;4975;1908
data,1251756000000,414;6199;1908
data,1291158000000,414;5139;1908
data,1214863200000,414;288;1909
data,1238536800000,414;55;1910
data,1241128800000,414;6885;1911
data,1283292000000,414;1772;1911
data,1264978800000,414;8184;1912
data,1212271200000,414;2168;1912
data,1246399200000,414;2842;1912
data,1130799600000,414;13452;1912
data,1262300400000,414;11623;1912
data,1262300400000,414;4541;1912
data,1225494000000,414;13507;1912
data,1238536800000,415;6616;1912
data,1217541600000,415;889;1912
data,1214863200000,415;2211;1912
data,1193871600000,415;4129;1913
data,1180648800000,415;6884;1913
data,1285884000000,415;461;1914
data,1212271200000,415;6424;1914
data,1177970400000,415;1887;1914
data,1228086000000,415;13603;1914
data,1180648800000,415;1408;1914
data,1230764400000,415;1001;1915
data,1214863200000,415;9666;1915
data,1272664800000,415;17924;1915
