
New Run at  09/15/2015 00:58:57
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1275343200000,3;3;4;4
data,1233442800000,3;11;11;15
data,1235862000000,4;15;12;19
data,1283292000000,6;20;13;24
data,1225494000000,10;28;19;34
data,1267398000000,12;36;23;42
data,1175378400000,14;43;26;46
data,1254348000000,18;50;28;50
data,1196463600000,22;60;34;59
data,1251756000000,25;68;38;66
data,1251756000000,26;76;43;74
data,1251756000000,29;82;47;84
data,1233442800000,33;88;49;92
data,1233442800000,34;94;52;101
data,1225494000000,35;107;55;112
data,1285884000000,36;120;59;120
data,1283292000000,37;126;60;124
data,1233442800000,37;139;62;131
data,1304672928318,39;144;64;134
data,1280613600000,44;157;69;147
data,1257030000000,45;172;76;161
data,1207000800000,46;187;80;176
data,1280613600000,49;192;82;181
data,1254348000000,49;200;85;187
data,1298934000000,51;212;90;194
data,1249077600000,51;224;95;205
data,1230764400000,53;236;96;214
data,1222812000000,55;251;101;225
data,1162335600000,58;261;107;235
data,1167606000000,61;272;108;248
data,1267398000000,63;285;112;256
data,1264978800000,66;301;117;267
data,1254348000000,68;317;122;279
data,1162335600000,72;329;126;294
data,1280613600000,75;341;130;300
data,1275343200000,75;353;133;311
data,1262300400000,76;364;136;319
data,1285884000000,77;374;139;326
data,1191189600000,81;383;143;336
data,1257030000000,82;391;146;345
data,1288566000000,107;623;237;561
data,1233442800000,107;634;242;574
data,1251756000000,109;654;250;587
data,1254348000000,110;665;257;599
data,1280613600000,111;676;261;610
data,1209592800000,112;692;269;623
data,1133391600000,114;704;274;638
data,1217541600000,115;722;285;658
data,1249077600000,115;732;289;668
data,1285884000000,121;748;298;685
data,1277935200000,122;762;303;696
data,1235862000000,126;775;311;709
data,1257030000000,129;786;324;722
data,1251756000000,131;797;331;732
data,1199142000000,132;815;339;745
data,1230764400000,133;820;341;751
data,1233442800000,134;834;349;765
data,1267398000000,134;854;362;784
data,1296514800000,140;863;367;794
data,1193871600000,141;873;374;806
data,1199142000000,142;890;377;819
data,1304700117310,144;909;387;835
data,1280613600000,144;929;396;856
data,1196463600000,147;946;405;871
data,1283292000000,150;961;410;889
