
New Run at  09/15/2015 00:40:43
, Time,RandomReward; CoLinReward; LinUCBReward; GOBLinReward
data,1275343200000,2;3;4;3
data,1233442800000,5;10;10;11
data,1235862000000,8;15;12;16
data,1283292000000,12;22;14;20
data,1225494000000,16;33;21;31
data,1267398000000,17;40;24;41
data,1175378400000,19;45;26;49
data,1254348000000,20;48;27;55
data,1196463600000,20;57;32;67
data,1251756000000,21;67;38;77
data,1251756000000,22;78;43;92
data,1251756000000,22;88;49;102
data,1233442800000,24;95;55;110
data,1233442800000,24;105;56;118
data,1225494000000,26;121;61;131
data,1285884000000,27;134;64;144
data,1283292000000,28;141;67;150
data,1233442800000,31;148;70;156
data,1304672928318,33;155;73;162
data,1280613600000,35;168;78;177
data,1257030000000,39;179;81;190
data,1207000800000,46;196;90;204
data,1280613600000,47;207;95;213
data,1254348000000,49;217;103;222
data,1298934000000,52;227;105;231
data,1249077600000,54;236;109;243
data,1230764400000,54;247;111;255
data,1222812000000,55;260;118;268
data,1162335600000,58;274;124;281
data,1167606000000,59;287;128;298
data,1267398000000,62;298;132;311
data,1264978800000,64;312;139;325
data,1254348000000,65;323;145;336
data,1162335600000,68;334;157;351
data,1280613600000,68;345;161;361
data,1275343200000,70;355;166;375
data,1262300400000,70;365;168;383
data,1285884000000,74;375;169;390
data,1191189600000,75;384;174;398
data,1257030000000,78;390;178;406
data,1238536800000,79;403;185;417
data,1154383200000,81;419;193;436
data,1170284400000,83;433;201;449
data,1241128800000,86;450;210;466
data,1254348000000,87;470;220;481
data,1207000800000,90;479;228;490
data,1220220000000,91;488;232;495
data,1183240800000,94;499;239;502
data,1267398000000,97;515;250;515
data,1220220000000,100;529;257;531
data,1298934000000,102;543;262;539
data,1212271200000,104;555;271;554
data,1172703600000,104;567;276;566
data,1291158000000,107;578;284;577
data,1209592800000,109;588;289;587
data,1288566000000,114;600;297;599
data,1233442800000,117;608;303;610
data,1251756000000,118;625;310;623
data,1254348000000,121;636;317;634
data,1280613600000,124;644;327;641
data,1209592800000,124;660;336;652
data,1133391600000,127;673;344;669
data,1217541600000,132;690;355;688
data,1249077600000,134;697;363;697
data,1285884000000,137;713;373;717
data,1277935200000,138;725;378;732
data,1235862000000,141;737;389;747
data,1257030000000,144;751;401;760
data,1251756000000,144;760;408;771
data,1199142000000,144;775;417;785
data,1230764400000,145;783;423;792
data,1233442800000,147;794;431;802
data,1267398000000,151;810;441;818
data,1296514800000,153;819;450;834
data,1193871600000,154;829;456;842
data,1199142000000,154;843;464;856
data,1304700117310,155;859;480;874
data,1280613600000,159;878;490;892
data,1196463600000,160;893;500;909
data,1283292000000,161;909;507;928
data,1267398000000,162;921;520;939
data,1204326000000,162;934;530;955
data,1283292000000,164;955;542;971
data,1264978800000,166;969;547;980
data,1136070000000,168;981;551;992
data,1170284400000,171;991;563;1006
data,1233442800000,175;1010;576;1024
data,1122847200000,176;1022;585;1040
data,1246399200000,177;1031;595;1051
data,1188597600000,179;1046;605;1064
data,1175378400000,180;1058;618;1076
data,1288566000000,182;1071;630;1088
data,1283292000000,186;1087;639;1100
data,1193871600000,188;1098;643;1110
data,1251756000000,191;1108;651;1120
data,1220220000000,194;1118;659;1129
data,1304692445012,194;1129;668;1142
data,1162335600000,196;1147;683;1159
data,1175378400000,197;1151;689;1169
data,1228086000000,199;1161;696;1177
data,1141167600000,200;1170;704;1185
data,1238536800000,201;1189;715;1207
data,1262300400000,205;1196;717;1214
data,1277935200000,205;1211;728;1226
data,1272664800000,208;1223;737;1241
data,1230764400000,209;1233;745;1253
data,1225494000000,210;1241;754;1263
data,1267398000000,211;1255;767;1284
data,1259622000000,211;1268;775;1300
data,1214863200000,213;1282;786;1317
data,1259622000000,217;1294;797;1333
data,1204326000000,218;1311;811;1350
data,1288566000000,222;1322;818;1356
data,1209592800000,224;1331;827;1369
data,1196463600000,227;1345;842;1384
data,1159653600000,230;1362;855;1400
data,1262300400000,231;1375;865;1416
data,1233442800000,231;1392;881;1436
data,1251756000000,233;1407;893;1449
data,1212271200000,235;1421;904;1463
data,1228086000000,237;1437;914;1480
data,1214863200000,239;1450;927;1496
data,1257030000000,241;1461;937;1510
data,1207000800000,241;1474;942;1523
data,1196463600000,243;1487;950;1536
data,1304703010033,246;1501;961;1552
data,1288566000000,248;1516;973;1566
data,1283292000000,250;1532;981;1578
data,1291158000000,250;1541;987;1586
data,1249077600000,252;1561;1000;1606
data,1188597600000,253;1574;1012;1619
data,1272664800000,254;1587;1024;1631
data,1228086000000,257;1602;1035;1647
data,1277935200000,260;1613;1046;1659
data,1238536800000,264;1624;1057;1670
data,1257030000000,266;1638;1068;1681
data,1291158000000,269;1660;1083;1704
data,1230764400000,272;1671;1092;1718
data,1217541600000,274;1685;1099;1733
data,1288566000000,276;1697;1112;1750
data,1257030000000,278;1712;1125;1766
data,1298934000000,281;1719;1135;1776
data,1304694615235,282;1733;1142;1791
data,1251756000000,283;1741;1149;1802
data,1264978800000,287;1750;1157;1810
data,1251756000000,289;1766;1168;1825
data,1288566000000,291;1787;1186;1845
data,1220220000000,292;1796;1195;1855
data,1272664800000,295;1807;1206;1865
data,1298934000000,297;1822;1216;1879
data,1162335600000,299;1832;1227;1888
data,1249077600000,299;1844;1237;1902
data,1270072800000,302;1857;1249;1917
data,1270072800000,305;1872;1258;1932
data,1162335600000,306;1895;1272;1953
data,1209592800000,309;1907;1282;1968
